rider_class,stage_class,count,mean,median,std,min,max
All Rounder,flat,102,15.441176470588236,8.0,28.2816714706976,0,194
All Rounder,hills,136,35.786764705882355,12.5,57.459216852539775,0,274
All Rounder,mount,85,67.4235294117647,17.0,88.9558981784136,0,304
Climber,flat,138,5.094202898550725,1.5,6.230239044938148,0,26
Climber,hills,184,21.668478260869566,7.0,45.98448165265008,0,264
Climber,mount,115,35.86086956521739,12.0,57.01998525548274,0,269
Sprinter,flat,174,38.97701149425287,2.5,63.58826681524148,0,272
Sprinter,hills,232,5.202586206896552,0.0,21.950897431414607,0,244
Sprinter,mount,145,2.0413793103448277,0.0,5.88651455785567,0,32
Unclassed,flat,690,5.740579710144927,0.0,19.801356177921974,0,232
Unclassed,hills,920,9.096739130434782,0.0,30.662584910653543,0,260
Unclassed,mount,575,2.951304347826087,0.0,7.9056541008705645,0,64
